source_key,pmid,source_type,reuse_category,license_status,priority,notes
nar_database_guideline,,nar_guideline,derived_annotations_only,official_guideline,core,NAR Database Issue official requirements
oligotox_notice,,challenge_notice,derived_annotations_only,official_notice,core,NIH/NCATS OligoTox challenge notice
hybridization_offtarget_guidance,39912803,industry_guidance,derived_annotations_only,abstract_metadata_only,core,Updated industry recommendations for hybridization-dependent off-target risk
seedmatchr,38192001,tool_reference,derived_annotations_only,abstract_metadata_only,core,siRNA seed-mediated off-target detection in RNA-seq experiments
aso_toxicity_interplay,41078095,literature_signal,derived_annotations_only,abstract_metadata_only,core,ASO toxicity depends on sequence and chemical modification interplay
phosphorothioate_ddr,41760661,literature_signal,derived_annotations_only,abstract_metadata_only,core,Phosphorothioate ASO effects on DNA damage response
sirna_offtarget_modification_method,40877521,method_reference,derived_annotations_only,abstract_metadata_only,secondary,siRNA design method to reduce sequence-dependent off-target effects
galnac_sirna_pkpd,37589246,review_reference,derived_annotations_only,abstract_metadata_only,secondary,GalNAc-conjugated siRNA PK/PD and safety context
sirna_delivery_landscape,38204162,review_reference,derived_annotations_only,abstract_metadata_only,secondary,Nanoparticle-based siRNA delivery context
apoc3_sirna_aso_dyslipidemia,38334488,review_reference,derived_annotations_only,abstract_metadata_only,secondary,APOC3 siRNA and ASO therapy context
clinical_oligo_arrhythmia_risk,38362953,review_reference,derived_annotations_only,abstract_metadata_only,secondary,Proarrhythmic risk review for oligonucleotide therapeutics
asog_generator,41050468,tool_reference,derived_annotations_only,abstract_metadata_only,secondary,Antisense oligonucleotide generator comparator
ube3a_aso_trial,40646322,clinical_context,derived_annotations_only,abstract_metadata_only,secondary,ASO clinical trial context; not preclinical label source
pelacarsen_context,40781022,clinical_context,derived_annotations_only,abstract_metadata_only,secondary,ASO clinical context for Lp(a)
mechanistic_galnac_sirna_offtarget,40134378,literature_signal,derived_annotations_only,abstract_metadata_only,core,Mechanistic insights into hybridization-based off-target activity of GalNAc-siRNA conjugates
offtarget_preclinical_assessment_review,40721084,review_reference,derived_annotations_only,abstract_metadata_only,core,Off-target effects of oligonucleotides and preclinical assessment approaches
scn2a_individualized_aso,40263630,clinical_context,derived_annotations_only,abstract_metadata_only,secondary,Individualized ASO clinical context; use for safety/provenance fields only
pnpla3_aso_phase1,39798707,clinical_context,derived_annotations_only,abstract_metadata_only,secondary,PNPLA3 ASO phase I safety context
nusinersen_renal_hematological,39829133,clinical_context,derived_annotations_only,abstract_metadata_only,secondary,Nusinersen renal and hematological safety context
sirna_structural_modifications,38954918,review_reference,derived_annotations_only,abstract_metadata_only,secondary,Structural-guided modifications of siRNA
chemical_modifications_nat,40877500,method_reference,derived_annotations_only,abstract_metadata_only,secondary,Chemical modifications in nucleic acid therapeutics
aso_design_screening,40163297,method_reference,derived_annotations_only,abstract_metadata_only,secondary,ASO design and preliminary screening method
